time.yy;time.mm;time.dd;time.hh;tre200h0;gls;str.diffus;ground_temp
2021;8;5;14;20.5;733;282;5
2021;8;5;15;21.2;643;155;5
2021;8;5;16;21.6;522;73;5
2021;8;5;17;21.4;354;58;5
2021;8;5;18;20.9;163;40;5
2021;8;5;19;19.7;25;18;5
2021;8;5;20;18.5;3;2;5
2021;8;5;21;18;2;1;5
2021;8;5;22;18.2;2;1;5
2021;8;5;23;17.8;2;1;5
2021;8;6;0;17.8;2;1;5
2021;8;6;1;18.2;2;1;5
2021;8;6;2;17.8;2;1;5
2021;8;6;3;17.8;2;1;5
2021;8;6;4;18.1;2;1;5
2021;8;6;5;17.7;6;5;5
2021;8;6;6;17.6;39;37;5
2021;8;6;7;18.2;112;104;5
2021;8;6;8;18.6;149;139;5
2021;8;6;9;19.3;356;204;5
2021;8;6;10;20.8;709;155;5
2021;8;6;11;21.7;831;101;5
2021;8;6;12;22.5;869;93;5
2021;8;6;13;23;879;117;5
2021;8;6;14;23.6;791;88;5
2021;8;6;15;23.9;640;125;5
2021;8;6;16;23.1;294;216;5
2021;8;6;17;22.3;124;115;5
2021;8;6;18;22.2;68;66;5
2021;8;6;19;21.1;14;13;5
2021;8;6;20;20;3;1;5
2021;8;6;21;19.1;3;1;5
2021;8;6;22;18.8;2;1;5
2021;8;6;23;18.5;2;1;5
2021;8;7;0;18.2;2;1;5
2021;8;7;1;18;2;1;5
2021;8;7;2;17.8;2;1;5
2021;8;7;3;17.4;2;1;5
2021;8;7;4;17;2;1;5
2021;8;7;5;17.2;13;11;5
2021;8;7;6;17.6;30;29;5
2021;8;7;7;18.2;93;90;5
2021;8;7;8;19.7;352;233;5
2021;8;7;9;20;218;172;5
2021;8;7;10;19.1;134;129;5
2021;8;7;11;16.8;60;58;5
2021;8;7;12;14.8;21;20;5
2021;8;7;13;14.9;34;33;5
2021;8;7;14;15;34;33;5
2021;8;7;15;15.2;31;31;5
2021;8;7;16;15.1;12;10;5
2021;8;7;17;15.1;15;14;5
2021;8;7;18;15.4;49;47;5
2021;8;7;19;15.7;25;23;5
2021;8;7;20;15.5;2;1;5
2021;8;7;21;15.8;2;1;5
2021;8;7;22;15.9;2;1;5
2021;8;7;23;15.6;2;1;5
2021;8;8;0;15.5;2;1;5
2021;8;8;1;15.4;2;1;5
2021;8;8;2;15.5;2;1;5
2021;8;8;3;15.5;2;1;5
2021;8;8;4;15.2;3;1;5
2021;8;8;5;14.6;5;3;5
2021;8;8;6;14.8;36;35;5
2021;8;8;7;15.6;103;101;5
2021;8;8;8;16.4;206;178;5
2021;8;8;9;17.2;319;241;5
2021;8;8;10;18.3;585;301;5
2021;8;8;11;19.1;609;371;5
2021;8;8;12;19.9;679;394;5
2021;8;8;13;20.6;813;234;5
2021;8;8;14;20.9;783;94;5
2021;8;8;15;21.7;679;83;5
2021;8;8;16;21.8;523;68;5
2021;8;8;17;21.6;354;59;5
2021;8;8;18;20.9;171;46;5
