tre200h0;gls;str.diffus;ground_temp
2.5;2;1;5
2.8;2;1;5
2.8;2;1;5
2.5;2;1;5
3.1;6;4;5
3.4;19;18;5
3.5;34;33;5
3.7;62;61;5
4.2;65;64;5
4.1;54;53;5
4.1;29;28;5
4.0;17;16;5
3.9;7;6;5
4.2;2;1;5
4.0;2;1;5
3.8;2;1;5
3.6;2;1;5
3.9;2;1;5
4.0;2;1;5
4.2;2;1;5
4.4;2;1;5
4.4;2;1;5
4.7;2;1;5
4.7;3;1;5
4.8;2;1;5
5.1;2;1;5
5.1;2;1;5
5.0;3;1;5
4.9;5;4;5
4.8;16;15;5
5.0;38;36;5
5.3;39;38;5
5.7;51;50;5
5.9;44;43;5
5.6;34;33;5
5.2;21;20;5
4.8;9;8;5
4.6;3;2;5
4.5;2;1;5
4.5;2;1;5
4.5;2;1;5
4.6;2;1;5
4.6;2;1;5
4.5;3;1;5
4.3;2;1;5
4.4;2;1;5
4.3;2;1;5
4.1;2;1;5
3.8;3;1;5
3.8;2;1;5
4.0;2;1;5
4.3;2;1;5
4.6;7;5;5
4.8;34;33;5
4.5;39;38;5
3.8;46;45;5
2.6;26;25;5
2.0;48;47;5
1.9;64;63;5
2.4;51;50;5
2.3;22;21;5
1.6;4;2;5
